GeneID	CommonName	OligosNum	OligosIDs	OligosSites	P-values	log2(MeanRatios)	Description
At1g75440		3	35598922,35598923,35598924,	28316981,28317369,28317796,	0.00048,1.5e-05,0.00043,	1.4,1.8,1,	ubiquitin-conjugating enzyme 16 (UBC16) E2; identical to gi:2801444, GB:AAC39325 from [Arabidopsis thaliana] (Plant Mol. Biol. 23 (2), 387-396 (1993))
At1g75680		3	35599085,35599086,35599087,	28423224,28423740,28424152,	0.0021,0.00087,0.0024,	0.97,0.97,0.8,	glycosyl hydrolase family 9 protein similar to endo-beta-1,4-glucanase GB:AAC12685 GI:3025470 from [Pinus radiata]
At1g75800		3	35599150,35599151,35599152,	28462325,28462789,28463204,	8.5e-05,0.00099,0.0022,	1.3,1,1,	pathogenesis-related thaumatin family protein similar to receptor serine/threonine kinase PR5K [Arabidopsis thaliana] GI:1235680; contains Pfam profile: PF00314 Thaumatin family
At1g75840		3	35599177,35599178,35599179,	28478052,28478626,28479311,	0.0044,0.00091,0.0047,	0.86,1.1,0.72,	Rac-like GTP-binding protein (ARAC5) / Rho-like GTP-binding protein (ROP4) identical to RAC-like GTP-binding protein (ARAC5) SP:Q38937 [Arabidopsis thaliana], Rho-like GTP binding protein [Arabidopsis thaliana] GI:2654009; identical to cDNA Rho-like GTP binding protein (Rop4) GI:2654008
At1g76500		3	35599547,35599549,35599550,	28704211,28705513,28706304,	0.0013,0.0067,0.00014,	1.1,0.79,1.5,	DNA-binding family protein contains Pfam domain, PF02178: AT hook motif
At1g76590		3	35599613,35599614,35599615,	28743892,28744351,28744986,	0.0044,0.00088,0.00036,	0.7,1,1.2,	zinc-binding family protein similar to zinc-binding protein [Pisum sativum] GI:16117799; contains Pfam profile PF04640 : Protein of unknown function, DUF597
At1g76790		3	35599751,35599752,35599753,	28828090,28828478,28829349,	0.002,0.0059,0.0082,	1,0.83,0.9,	O-methyltransferase family 2 protein similar to caffeic acid O-methyltransferase [Catharanthus roseus][GI:18025321], catechol O-methyltransferase GB:CAA55358 [Vanilla planifolia]
At1g76880		3	35599811,35599812,35599814,	28867919,28868309,28870237,	0.00055,5e-05,0.0029,	1.1,1.5,0.76,	trihelix DNA-binding protein, putative similar to DNA-binding protein DF1 [Pisum sativum] GI:13646986
At1g77290		3	35600076,35600077,35600078,	29042711,29043097,29043526,	0.00027,2.9e-05,3.3e-05,	1.4,2,1.5,	tetrachloro-p-hydroquinone reductive dehalogenase-related contains similarity to tetrachloro-p-hydroquinone reductive dehalogenase GI:148689 from [Flavobacterium sp.]
At1g77590		3	35600268,35600269,35600270,	29156851,29157289,29157742,	0.0094,0.0022,0.0044,	0.69,1,0.68,	long-chain-fatty-acid--CoA ligase family protein / long-chain acyl-CoA synthetase family protein (LACS9) similar to LACS 3 [SP|O95573] from Homo Sapiens, LACS 3 [SP|Q63151] from Rattus norvegicus; contains Pfam HMM hit: AMP-binding enzymes PF00501
At1g78100		3	35600655,35600656,35600657,	29391722,29392457,29392874,	8.7e-05,0.00055,0.00073,	1.3,1.2,1.3,	F-box family protein contains F-box domain Pfam:PF00646
At1g78240		3	35600723,35600730,35600738,	29438106,29443673,29448565,	0.006,0.00085,0.0024,	0.67,1.2,0.82,	dehydration-responsive protein-related similar to early-responsive to dehydration stress ERD3 protein [Arabidopsis thaliana] GI:15320410; contains Pfam profile PF03141: Putative methyltransferase
At1g78440		3	35600851,35600854,35600856,	29517535,29519194,29521093,	0.0056,0.0001,7.9e-05,	0.65,1.4,1.3,	gibberellin 2-oxidase / GA2-oxidase (GA2OX1) identical to gibberellin 2- oxidase ga2ox1 [GI:4678366] from [Arabidopsis thaliana]
At1g78600		3	35600934,35600935,35600936,	29571144,29571724,29572259,	0.00085,0.0024,0.0076,	0.98,1.5,0.65,	zinc finger (B-box type) family protein similar to zinc finger protein GI:3618316 from [Oryza sativa]
At1g78610		3	35600941,35600947,35600948,	29574946,29577905,29578447,	0.0021,0.0076,0.00068,	0.82,0.77,1.1,	mechanosensitive ion channel domain-containing protein / MS ion channel domain-containing protein contains Pfam profile PF00924: Mechanosensitive ion channel
At1g80130		3	35601909,35601910,35601911,	30147603,30148161,30148560,	0.00023,0.0028,0.0018,	1.7,1.1,0.83,	expressed protein 
At1g80300		3	35601988,35601989,35601990,	30194618,30195368,30195944,	0.0011,0.00025,0.0081,	1.1,1.5,0.64,	chloroplast ADP, ATP carrier protein 1 / ADP, ATP translocase 1 / adenine nucleotide translocase 1 (AATP1) identical to SP|Q39002 Chloroplast ADP,ATP carrier protein 1, chloroplast precursor (ADP/ATP translocase 1) (Adenine nucleotide translocase 1) {Arabidopsis thaliana}
At1g80610		3	35602170,35602171,35602173,	30307659,30308183,30309072,	7.2e-05,0.00084,0.0007,	1.8,1.1,0.95,	expressed protein 
At2g01470		3	35602739,35602740,35602741,	214374,214759,215288,	0.008,0.0012,0.0036,	0.78,0.9,0.85,	St12p protein (ST12p) / SEC12p protein, putative 99.8% identical to St12p protein (GI:166878) {Arabidopsis thaliana}
At2g01680		3	35602875,35602876,35602877,	303837,304444,305084,	0.0013,0.002,2e-05,	0.87,0.96,1.8,	ankyrin repeat family protein contains ankyrin repeat domains, Pfam:PF00023
At2g01850		3	35602993,35602994,35602995,	383152,383537,384020,	0.0038,0.00016,0.0023,	0.77,1.9,0.94,	xyloglucan:xyloglucosyl transferase / xyloglucan endotransglycosylase / endo-xyloglucan transferase (EXGT-A3) identical to endoxyloglucan transferase [Arabidopsis thaliana] GI:5533313
At2g01920		3	35603048,35603051,35603052,	422017,425769,426358,	0.00035,0.00014,0.008,	1.4,1.4,0.7,	epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related contains Pfam PF01417: ENTH domain. ENTH (Epsin N-terminal homology) domain; similar to clathrin assembly protein AP180 (GI:6492344) [Xenopus laevis]
At2g02810		3	35603591,35603592,35603593,	801228,801671,802176,	2.9e-05,0.00024,0.0006,	1.8,1.4,0.97,	UDP-galactose/UDP-glucose transporter contains  transmembrane domains; identical to UDP-galactose/UDP-glucose transporter (GI:22651763) [Arabidopsis thaliana] similar to UGTrel1 (GI:1669564) [Rattus rattus]; identical to cDNA UDP-galactose/UDP-glucose transporter GI:22651762
At2g02955		3	35603670,35603671,35603672,	858184,858706,859143,	4.6e-06,3.1e-05,0.00086,	2.3,2.4,0.94,	expressed protein ; expression supported by MPSS
At2g03090		3	35603754,35603755,35603756,	920258,920805,921514,	0.00049,0.005,0.0043,	0.97,0.87,0.71,	expansin, putative (EXP15) identical to SWISS-PROT:O80622 alpha-expansin 15 precursor (At-EXP15)[Arabidopsis thaliana]; alpha-expansin gene family, PMID:11641069
At2g03240		3	35603850,35603852,35603856,	977586,979305,982101,	0.0069,0.0067,0.00074,	0.69,0.81,1.2,	EXS family protein / ERD1/XPR1/SYG1 family protein similar to  PHO1 protein [Arabidopsis thaliana] GI:20069032; contains Pfam profiles PF03105: SPX domain, PF03124: EXS family
At2g11235		3	35608903,35608904,35608905,	4476104,4476542,4477051,	0.00023,0.00091,0.00045,	1.1,0.86,1,	
At2g16365		3	35612682,35612683,35612684,	7080914,7081360,7081960,	3e-05,8.5e-06,2e-05,	1.6,2.5,1.6,	F-box family protein contains Pfam:PF00646 F-box domain
At2g17500		3	35613492,35613493,35613496,	7611692,7612530,7614585,	0.0044,0.0013,0.00019,	0.83,0.84,1.2,	auxin efflux carrier family protein contains auxin efflux carrier domain, Pfam:PF03547
At2g18120		3	35613920,35613921,35613922,	7884319,7884732,7885148,	0.0036,7.7e-05,4.5e-05,	0.78,1.3,1.8,	lateral root primordium (LRP) protein-related similar to lateral root primordium 1 (LRP1) [Arabidopsis thaliana] GI:882341; contains Pfam profile PF05142: Domain of unknown function (DUF702)
At2g19790		3	35614883,35614884,35614885,	8533427,8533894,8534379,	0.0027,0.00076,3.1e-05,	0.78,0.96,1.6,	clathrin adaptor complex small chain family protein contains Pfam profile: PF01217 clathrin adaptor complex small chain
At2g20240		3	35615206,35615208,35615210,	8736294,8737507,8739769,	0.0043,0.00039,0.00025,	0.72,1.1,1.3,	expressed protein  
At2g20724		3	35615511,35615512,35615513,	8940091,8940481,8940901,	0.0044,0.00015,0.00025,	1.2,1.8,1.3,	
At2g21520		3	35615983,35615984,35615985,	9221593,9222167,9222578,	0.00085,1.3e-05,0.0012,	0.89,1.8,0.99,	SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative contains Pfam PF00650 : CRAL/TRIO domain; contains Pfam PF03765 : CRAL/TRIO, N-terminus; similar to phosphatidylinositol transfer-like protein IV (GI:14486707) [Lotus japonicus]
At2g21970		3	35616208,35616209,35616210,	9364747,9365152,9365564,	6.6e-05,2.1e-05,1.2e-05,	1.4,2.3,1.9,	stress enhanced protein 2 (SEP2) nearly identical to stress enhanced protein 2; SEP2 (GI:7384980) [Arabidopsis thaliana]
At2g22170		3	35616322,35616323,35616324,	9434126,9434918,9435394,	0.0069,9.2e-06,0.003,	0.79,2.6,1,	lipid-associated family protein contains PLAT/LH2 (Polycystin-1, Lipoxygenase, Alpha-Toxin/Lipoxygenase homology) domain Pfam:PF01477
At2g23690		3	35617281,35617282,35617288,	10075594,10076284,10080766,	0.0066,0.00016,0.0076,	0.83,1.6,0.73,	expressed protein 
At2g23760	BLH4	3	35617340,35617341,35617346,	10115035,10115430,10118894,	1.3e-05,0.00059,0.0023,	1.8,1.1,0.78,	BEL1-like homeobox 4 protein (BLH4) 
At2g24250		3	35617661,35617662,35617663,	10321797,10322242,10322688,	0.0081,2.7e-05,0.005,	0.65,1.5,0.74,	F-box family protein contains Pfam:PF00646 F-box domain
At2g25090		3	35618190,35618191,35618192,	10678965,10679868,10680269,	0.0019,0.0002,3e-05,	0.81,1.2,1.6,	CBL-interacting protein kinase 16 (CIPK16) identical to CBL-interacting protein kinase 16 [Arabidopsis thaliana] gi|14009298|gb|AAK50348
At2g25430		3	35618427,35618428,35618429,	10829046,10829493,10829898,	4.2e-05,0.00013,0.0039,	1.7,1.5,0.96,	epsin N-terminal homology (ENTH) domain-containing protein contains Pfam PF01417: ENTH domain. ENTH (Epsin N-terminal homology) domain;
At2g27180		3	35619677,35619679,35619680,	11626326,11627244,11627702,	0.0024,0.0026,0.00014,	0.77,0.76,1.4,	expressed protein 
At2g27470		3	35619878,35619879,35619880,	11752363,11753258,11753693,	0.0084,0.0014,1.2e-05,	0.74,1,1.9,	CCAAT-box binding transcription factor subunit HAP3-related contains Pfam PF00808 : Histone-like transcription factor (CBF/NF-Y) and archaeal histone; similar to polymerase epsilon p17 subunit (DNA polymerase epsilon subunit 3) (YB-like protein 1) (YBL1) (NF-YB-like protein) (SP:Q9JKP7)  [Mus musculus];
At2g27660		3	35619965,35619966,35619968,	11806443,11806867,11808032,	0.0099,0.0003,0.003,	0.62,1.1,0.74,	DC1 domain-containing protein contains Pfam profile PF03107: DC1 domain
At2g27830		3	35620052,35620053,35620054,	11865872,11866514,11867494,	4.2e-05,0.00091,0.0091,	1.6,1.1,0.62,	expressed protein 
At2g28200		3	35620297,35620298,35620300,	12030165,12031014,12032170,	0.00051,0.0059,0.0071,	1.1,0.86,0.7,	zinc finger (C2H2 type) family protein contains Pfam domain, PF00096: Zinc finger, C2H2 type
At2g28320		3	35620401,35620404,35620405,	12098198,12101578,12102054,	0.00049,0.0012,0.0084,	1,0.95,0.7,	pleckstrin homology (PH) domain-containing protein / lipid-binding START domain-containing protein contains Pfam profiles PF01852: START domain, PF00169: PH domain
At2g28470		3	35620520,35620521,35620522,	12180467,12181065,12181651,	0.0011,0.0012,0.0006,	1.1,1.1,1.1,	beta-galactosidase, putative / lactase, putative similar to Beta-galactosidase precursor SP:P48980 from [Lycopersicon esculentum]
At2g28930		3	35620868,35620869,35620872,	12426666,12427269,12429565,	0.00086,0.0069,0.00065,	0.93,0.7,1.1,	protein kinase (APK1b) identical to protein kinase APK1B [Arabidopsis thaliana] SWISS-PROT:P46573
At2g28940		3	35620883,35620884,35620885,	12435421,12435826,12436295,	0.00015,5.8e-06,0.00015,	1.2,2,1.2,	protein kinase family protein contains protein kinase domain, Pfam:PF00069
At2g29210		3	35621086,35621089,35621090,	12564478,12566270,12566707,	0.0031,0.0013,9.2e-05,	0.74,1,1.7,	splicing factor PWI domain-containing protein contains Pfam profile PF01480: PWI domain
At2g29450	AT103-1A	3	35621194,35621196,35621197,	12632087,12632901,12633414,	0.0071,0.0003,0.00049,	0.67,1.4,1.3,	glutathione S-transferase (103-1A) identical to Swiss-Prot:P46421 glutathione S-transferase 103-1A [Arabidopsis thaliana]
At2g30010		3	35621473,35621475,35621478,	12812610,12813936,12816024,	0.0023,0.0015,0.009,	0.82,0.9,0.68,	expressed protein 
At2g30520		3	35621774,35621778,35621779,	13010421,13013284,13013694,	0.0048,2.8e-05,2.3e-06,	0.86,2,3.4,	signal transducer of phototropic response (RPT2) identical to RPT2 [Arabidopsis thaliana] gi|6959488|gb|AAF33112
At2g31230	ATERF15	3	35622235,35622236,35622240,	13314811,13315291,13317965,	0.0016,0.0019,0.0013,	0.94,0.94,0.92,	ethylene-responsive factor, putative similar to ethylene response factor 1 GB:AAD03544 GI:4128208 from [Arabidopsis thaliana]
At2g31750		3	35622546,35622547,35622548,	13504862,13505309,13505874,	0.0079,1.6e-05,0.0008,	0.74,2.1,1.1,	UDP-glucoronosyl/UDP-glucosyl transferase family protein contains Pfam profile: PF00201 UDP-glucoronosyl and UDP-glucosyl transferase
At2g32270		3	35622875,35622876,35622879,	13709880,13710278,13713377,	0.0059,0.0014,0.0016,	0.95,1,0.93,	zinc transporter (ZIP3) identical to zinc transporter [Arabidopsis thaliana] gi|3252870|gb|AAC24199; member of the Zinc (Zn2+)-Iron (Fe2+) permease (ZIP) family, PMID:11500563
At2g32560		3	35623069,35623070,35623073,	13831081,13831468,13833227,	0.001,0.0022,0.00075,	0.94,0.9,0.92,	F-box family protein contains Pfam PF00646: F-box domain; similar to SKP1 interacting partner 2 (SKIP2) TIGR_Ath1:At5g67250
At2g33060		3	35623401,35623402,35623403,	14032012,14032403,14032816,	0.0016,0.0036,0.0095,	0.85,0.74,0.59,	leucine-rich repeat family protein contains leucine rich-repeat domains Pfam:PF00560, INTERPRO:IPR001611; contains similarity to Hcr2-0B [Lycopersicon esculentum] gi|3894387|gb|AAC78593
At2g33530		3	35623681,35623682,35623685,	14208035,14208601,14210214,	6e-05,8.2e-06,0.0039,	2,2,0.71,	serine carboxypeptidase S10 family protein similar to Serine carboxypeptidase II chains A and B (SP:P08819) (EC 3.4.16.6) [Triticum aestivum (Wheat)
At2g33580		3	35623720,35623721,35623722,	14228391,14229197,14229621,	0.0039,0.0068,0.0026,	0.77,1.3,0.8,	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein protein kinase [Arabidopsis thaliana] GI:2852449; contains Pfam profiles PF01476: LysM domain, PF00069: Protein kinase domain
At2g34490		3	35624226,35624227,35624230,	14543290,14544040,14545742,	0.001,0.0058,0.0041,	0.98,0.72,0.7,	cytochrome P450 family protein similar to Cytochrome P450 61 (C-22 sterol desaturase) (SP:P54781) {Saccharomyces cerevisiae}; contains Pfam profile: PF00067 cytochrome P450; supported by full-length cDNA: Ceres:158108.
At2g34610		3	35624283,35624284,35624285,	14582080,14582551,14582955,	9.3e-05,0.0016,0.0026,	1.4,0.96,0.75,	expressed protein 
At2g35290		3	35624755,35624756,35624757,	14868891,14869290,14869915,	0.0061,3.9e-05,0.0039,	0.71,1.4,0.91,	expressed protein 
At2g35860		3	35625079,35625082,35625083,	15064210,15066538,15067060,	1.1e-05,0.0011,0.00023,	1.9,1.1,1.2,	beta-Ig-H3 domain-containing protein / fasciclin domain-containing protein contains Pfam profile PF02469: Fasciclin domain
At2g35940	BLH1	3	35625135,35625138,35625139,	15097846,15100284,15100956,	0.0044,0.00013,0.00048,	0.69,1.3,1.1,	homeodomain-containing protein contains 'Homeobox' domain signature, Prosite:PS00027
At2g36090		3	35625233,35625234,35625236,	15163905,15164299,15165648,	0.0005,0.0065,0.00073,	0.97,0.73,0.94,	F-box family protein contains Pfam PF00646: F-box domain; similar to SKP1 interacting partner 2 (SKIP2) TIGR_Ath1:At5g67250
At2g36310		3	35625346,35625347,35625348,	15233527,15233922,15234314,	0.0026,0.0011,0.00047,	1,1.1,1.1,	inosine-uridine preferring nucleoside hydrolase family protein similar to Chain A, Crystal Structure Of Nucleoside Hydrolase From Leishmania MajorGI:8569431; contains Pfam profile PF01156: Inosine-uridine preferring nucleoside hydrolase
At2g36420		3	35625444,35625450,35625453,	15287829,15291420,15293053,	0.0062,0.0047,0.0098,	0.65,0.81,0.81,	expressed protein  
At2g36870		3	35625752,35625753,35625754,	15481034,15481486,15482029,	0.0066,0.0092,0.0027,	0.69,0.67,0.92,	xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative similar to cellulase (xyloglucan endo-transglycosylase) GI:311835 from [Tropaeolum majus]
At2g36970		3	35625834,35625835,35625836,	15535256,15536128,15536957,	0.0011,0.0069,0.0022,	0.87,0.65,0.9,	UDP-glucoronosyl/UDP-glucosyl transferase family protein contains Pfam profile: PF00201 UDP-glucoronosyl and UDP-glucosyl transferase
At2g37050		3	35625897,35625899,35625902,	15572415,15573545,15575153,	0.0092,0.002,0.0032,	0.68,0.81,0.96,	leucine-rich repeat family protein / protein kinase family protein contains Pfam domains PF00560: Leucine Rich Repeat and PF00069: Protein kinase domain
At2g37630	AS1;ATPHAN;MYB91	3	35626239,35626240,35626245,	15790477,15791361,15794531,	0.003,0.005,0.007,	0.75,1.2,0.85,	myb family transcription factor (MYB91) contains Pfam profile: PF00249 myb-like DNA-binding domain
At2g37680		3	35626273,35626274,35626275,	15809897,15810539,15810997,	0.0023,0.00032,0.0049,	0.86,1.2,0.67,	phytochrome A specific signal transduction component (PAT3) / far-red elongated hypocotyl protein 1 (FHY1) identical to phytochrome A specific signal transduction component PAT3 [Arabidopsis thaliana] gi|19421998|gb|AAL87850; identical to far-red elongated hypocotyl protein 1 [Arabidopsis thaliana] gi|17148773|gb|AAL35819
At2g38050		3	35626466,35626467,35626468,	15928425,15928828,15929263,	0.00022,0.00096,0.00051,	1.2,0.9,0.96,	3-oxo-5-alpha-steroid 4-dehydrogenase, putative / steroid 5-alpha-reductase, putative identical to gi:1280611; contains a steroid 5-alpha reductase, C-terminal domain
At2g38120		3	35626542,35626543,35626547,	15975881,15976683,15980989,	0.00011,0.0015,0.0045,	1.4,0.82,0.91,	amino acid permease, putative (AUX1) identical to AUX1 GI:1531758 from [Arabidopsis thaliana]
At2g38400		3	35626707,35626708,35626710,	16088953,16089371,16090913,	0.0069,0.00072,0.0091,	0.71,1.1,0.81,	alanine--glyoxylate aminotransferase, putative / beta-alanine-pyruvate aminotransferase, putative / AGT, putative similar to SP|Q64565 Alanine--glyoxylate aminotransferase 2, mitochondrial precursor (EC 2.6.1.44) (AGT 2) (Beta-alanine-pyruvate aminotransferase) {Rattus norvegicus}; contains Pfam profile PF00202: aminotransferase, class III
At2g38860		3	35626965,35626966,35626967,	16242065,16242666,16243285,	0.0017,0.0049,0.0053,	0.79,0.68,0.68,	proteaseI (pfpI)-like protein (YLS5) contains Pfam profile PF01965: DJ-1/PfpI family; supporting cDNA gi|13122287|dbj|AB047808.1|; identical to proteaseI (pfpI)-like protein [Arabidopsis thaliana] GI:13122288, cDNA proteaseI (pfpI)-like protein GI:13122287
At2g39210		3	35627168,35627169,35627172,	16373485,16373967,16375742,	0.0024,0.0084,0.0085,	0.79,0.69,0.75,	nodulin family protein similar to nodulin-like protein [Arabidopsis thaliana] GI:3329368, nodule-specific protein Nlj70 [Lotus japonicus] GI:3329366
At2g39240		3	35627202,35627203,35627204,	16395683,16396147,16396662,	0.00018,0.0054,0.0023,	1.6,0.69,0.85,	RNA polymerase I specific transcription initiation factor RRN3 family protein contains Pfam profile PF05327: RNA polymerase I specific transcription initiation factor RRN3
At2g39480		3	35627371,35627373,35627375,	16492411,16493407,16494202,	0.0078,0.00095,0.00097,	0.66,0.88,1.1,	ABC transporter family protein related to multi drug resistance proteins and P-glycoproteins
At2g40080		3	35627780,35627781,35627782,	16741829,16742339,16742834,	2.5e-05,5.8e-05,0.00082,	1.7,2,0.95,	expressed protein 
At2g40230		3	35627889,35627891,35627892,	16810772,16811613,16812040,	0.0025,0.0012,0.0029,	0.78,0.89,0.96,	transferase family protein similar to taxadienol acetyl transferase from Taxus cuspidata [gi:6978038]; contains Pfam transferase family domain PF002458
At2g40330		3	35627961,35627964,35627966,	16852328,16853693,16854923,	0.0016,0.00097,0.0033,	1,0.86,0.97,	Bet v I allergen family protein contains Pfam profile PF00407: Pathogenesis-related protein Bet v I family
At2g40480		3	35628070,35628071,35628072,	16917050,16917474,16917860,	2.9e-05,0.00013,0.00011,	1.9,1.6,1.2,	expressed protein contains Pfam profile PF05701: Plant protein of unknown function (DUF827); expression supported by MPSS
At2g40540		3	35628099,35628101,35628107,	16936550,16938290,16941353,	0.00051,0.0013,0.0079,	0.97,0.99,0.69,	potassium transporter, putative (KT2) identical to putative potassium transporter AtKT2p [Arabidopsis thaliana] gi|2384671|gb|AAC49845, strong similarity to potassium transporter HAK2p [Mesembryanthemum crystallinum] GI:14091471; KUP/HAK/KT Transporter family member, PMID:11500563
At2g41020		3	35628404,35628405,35628406,	17123634,17124272,17124669,	0.0011,0.0008,0.0062,	0.89,0.95,0.66,	WW domain-containing protein contains Pfam domain PF00397: WW domain
At2g41100		3	35628442,35628444,35628445,	17144136,17145031,17145959,	0.001,0.0029,0.0089,	0.9,0.84,0.6,	touch-responsive protein / calmodulin-related protein 3, touch-induced (TCH3) identical to calmodulin-related protein 3, touch-induced SP:P25071 from [Arabidopsis thaliana]
At2g41310		3	35628577,35628578,35628579,	17227544,17228301,17228840,	0.00033,0.0042,0.0035,	1.5,0.88,0.76,	two-component responsive regulator / response reactor 3 (RR3) identical to response reactor 3 GI:3273200 from [Arabidopsis thaliana]; contains Pfam profile: PF00072 response regulator receiver domain
At2g41870		3	35628998,35629000,35629001,	17478667,17480030,17480438,	0.0085,1.6e-05,5.7e-06,	0.75,2.1,2.4,	remorin family protein contains Pfam domain, PF03763: Remorin, C-terminal region
At2g41900		3	35629026,35629027,35629028,	17496514,17496969,17497450,	0.0003,8.1e-06,0.00032,	1,2.5,1.7,	zinc finger (CCCH-type) family protein contains Pfam domain, PF00642: Zinc finger C-x8-C-x5-C-x3-H type (and similar) and Pfam domain, PF00023: Ankyrin repeat
At2g42280		3	35629238,35629239,35629240,	17621595,17622130,17623207,	0.0046,0.00067,9.1e-05,	0.86,1.2,1.5,	basic helix-loop-helix (bHLH) family protein 
At2g43050		3	35629698,35629699,35629703,	17908462,17908959,17911191,	0.00029,0.009,0.0041,	1.2,0.62,0.68,	pectinesterase family protein contains Pfam profile: PF01095 pectinesterase
At2g43150		3	35629767,35629769,35629770,	17950494,17951864,17952268,	0.0086,0.00029,0.0054,	0.65,1.2,0.84,	proline-rich extensin-like family protein similar to CRANTZ hydroxyproline-rich glycoprotein [Manihot esculenta] gi|7211797|gb|AAF40442; similar to extensin gi|1165322|gb|AAB53156; contains proline-rich extensin domains, INTERPRO:IPR002965
At2g43340		3	35629872,35629873,35629874,	18011978,18012460,18013664,	3.8e-05,2.4e-05,0.003,	1.7,1.5,0.96,	expressed protein 
At2g44120		3	35630282,35630283,35630284,	18258000,18258385,18258999,	0.00014,0.0013,0.0035,	1.2,0.82,0.83,	60S ribosomal protein L7 (RPL7C)  
At2g44580		3	35630532,35630533,35630535,	18406616,18407893,18408986,	0.0032,0.0052,0.0027,	0.74,0.66,0.76,	zinc finger (C3HC4-type RING finger) family protein contains Pfam profile: PF00097 zinc finger, C3HC4 type (RING finger)
At2g44660		3	35630571,35630574,35630575,	18428337,18430125,18430516,	0.0029,6.7e-05,1.3e-05,	0.84,1.8,2.1,	ALG6, ALG8 glycosyltransferase family protein similar to SP|P40351 Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase) {Saccharomyces cerevisiae}; contains Pfam profile PF03155: ALG6, ALG8 glycosyltransferase family
At2g44810		3	35630663,35630664,35630665,	18485650,18486087,18486837,	0.0019,0.00013,0.0037,	0.81,1.3,0.78,	defective in anther dehiscence1 (DAD1) identical to DEFECTIVE IN ANTHER DEHISCENCE1 [Arabidopsis thaliana] GI:16215706; contains Pfam profile PF01764: Lipase
At2g44820		3	35630666,35630667,35630670,	18487320,18487753,18490314,	0.00017,0.0042,0.0043,	1.1,0.97,0.75,	expressed protein 
At2g44840	ATERF13;EREBP	3	35630685,35630686,35630687,	18500462,18501092,18501622,	0.0088,0.00015,0.0029,	0.66,1.1,0.94,	ethylene-responsive element-binding protein, putative 
At2g45600		3	35631170,35631171,35631172,	18796358,18796908,18797658,	0.0012,4.5e-05,4.6e-05,	0.89,1.7,2.2,	expressed protein low similarity to PrMC3 [Pinus radiata] GI:5487873
At2g45680		3	35631218,35631219,35631220,	18828798,18829443,18829836,	6.5e-05,4.1e-05,0.00018,	1.5,1.4,1.4,	TCP family transcription factor, putative similar to PCF2 (GI:2580440) [Oryza sativa]
At2g45830		3	35631288,35631289,35631290,	18873717,18874130,18874644,	4.7e-06,6.7e-05,5.8e-05,	2.5,1.9,1.5,	expressed protein  
At2g45910		3	35631331,35631332,35631333,	18899761,18900582,18901248,	0.0056,0.00055,1.3e-05,	0.88,1.2,2.1,	protein kinase family protein / U-box domain-containing protein contains Pfam profiles PF00069 Eukaryotic protein kinase domain,  PF04564: U-box domain; supported by tandem duplication of  (GI:3386604) (TIGR_Ath1:At2g45920) [Arabidopsis thaliana]
At2g45970		3	35631366,35631367,35631368,	18919823,18920206,18920959,	3.1e-05,5.5e-05,0.0033,	1.6,1.5,0.81,	cytochrome P450, putative  
At2g46310		3	35631533,35631535,35631537,	19016673,19018089,19019101,	0.0092,0.0028,0.00053,	0.73,0.74,1,	AP2 domain-containing transcription factor, putative 
At2g46600		3	35631733,35631734,35631735,	19142434,19142835,19143271,	0.0016,0.0016,0.00048,	0.91,1.3,1,	calcium-binding protein, putative similar to EF-hand Ca2+-binding protein CCD1 [Triticum aestivum] GI:9255753
At2g46660		3	35631763,35631765,35631768,	19160936,19162029,19163656,	0.009,0.0079,0.0057,	0.82,0.63,0.76,	cytochrome P450, putative similar to cytochrome p450 (CYP78A9)(GI:17065344) {Arabidopsis thaliana}
At2g46680	ATHB-7;ATHB7	3	35631784,35631785,35631787,	19174061,19174595,19176847,	0.00013,0.0011,0.0015,	1.2,0.94,0.9,	homeobox-leucine zipper protein 7 (HB-7) / HD-ZIP transcription factor 7 identical to homeobox-leucine zipper protein ATHB-7 (HD-ZIP protein ATHB-7) (SP:P46897) [Arabidopsis thaliana];
At2g46690		3	35631795,35631800,35631801,	19182885,19185882,19186330,	0.0028,0.0081,0.0008,	0.82,0.89,1.3,	auxin-responsive family protein similar to indole-3-acetic acid induced protein ARG7 (SP:P32295) [Phaseolus aureus]
At2g46800		3	35631889,35631890,35631892,	19244419,19244941,19245784,	0.00014,0.00075,0.0054,	1.7,0.97,0.66,	zinc transporter (ZAT) identical to zinc transporter ZAT [Arabidopsis thaliana] gi|4206640|gb|AAD11757; member of the cation diffusion facilitator (CDF) family, or cation efflux (CE) family, PMID:11500563
At2g47470		3	35632285,35632286,35632287,	19487901,19488333,19488958,	0.00025,7.1e-06,2.2e-05,	1.2,2.7,1.6,	thioredoxin family protein similar to protein disulfide isomerase [Dictyostelium discoideum] GI:2627440; contains Pfam profile: PF00085 Thioredoxin
